id,order,family,subfamily,genus,species,genome,host,sequence_name,submission_date
1,Bunyavirales,Feraviridae,,Orthoferavirus,Ferak orthoferavirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-04
2,Bunyavirales,Fimoviridae,,Emaravirus,Actinidia chlorotic ringspot-associated emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-05
3,Bunyavirales,Fimoviridae,,Emaravirus,European mountain ash ringspot-associated emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-06
4,Bunyavirales,Fimoviridae,,Emaravirus,Fig mosaic emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-07
5,Bunyavirales,Fimoviridae,,Emaravirus,High Plains wheat mosaic emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-08
6,Bunyavirales,Fimoviridae,,Emaravirus,Pigeonpea sterility mosaic emaravirus 1,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-09
7,Bunyavirales,Fimoviridae,,Emaravirus,Pigeonpea sterility mosaic emaravirus 2,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-10
8,Bunyavirales,Fimoviridae,,Emaravirus,Raspberry leaf blotch emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-11
9,Bunyavirales,Fimoviridae,,Emaravirus,Redbud yellow ringspot-associated emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-12
10,Bunyavirales,Fimoviridae,,Emaravirus,Rose rosette emaravirus,ssRNA(-),Plant or Fungi,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-13
11,Bunyavirales,Hantaviridae,,Orthohantavirus,Amga orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-14
12,Bunyavirales,Hantaviridae,,Orthohantavirus,Andes orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-15
13,Bunyavirales,Hantaviridae,,Orthohantavirus,Asama orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-16
14,Bunyavirales,Hantaviridae,,Orthohantavirus,Asikkala orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-17
15,Bunyavirales,Hantaviridae,,Orthohantavirus,Bayou orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-18
16,Bunyavirales,Hantaviridae,,Orthohantavirus,Black Creek Canal orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-19
17,Bunyavirales,Hantaviridae,,Orthohantavirus,Bowe orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-20
18,Bunyavirales,Hantaviridae,,Orthohantavirus,Bruges orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-21
19,Bunyavirales,Hantaviridae,,Orthohantavirus,Cano Delgadito orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-22
20,Bunyavirales,Hantaviridae,,Orthohantavirus,Cao Bang orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-23
21,Bunyavirales,Hantaviridae,,Orthohantavirus,Choclo orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-24
22,Bunyavirales,Hantaviridae,,Orthohantavirus,Dabieshan orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-25
23,Bunyavirales,Hantaviridae,,Orthohantavirus,Dobrava-Belgrade orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-26
24,Bunyavirales,Hantaviridae,,Orthohantavirus,El Moro Canyon orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-27
25,Bunyavirales,Hantaviridae,,Orthohantavirus,Fugong orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-28
26,Bunyavirales,Hantaviridae,,Orthohantavirus,Fusong orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-29
27,Bunyavirales,Hantaviridae,,Orthohantavirus,Hantaan orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-30
28,Bunyavirales,Hantaviridae,,Orthohantavirus,Imjin orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-08-31
29,Bunyavirales,Hantaviridae,,Orthohantavirus,Jeju orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-01
30,Bunyavirales,Hantaviridae,,Orthohantavirus,Kenkeme orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-02
31,Bunyavirales,Hantaviridae,,Orthohantavirus,Khabarovsk orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-03
32,Bunyavirales,Hantaviridae,,Orthohantavirus,Laguna Negra orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-04
33,Bunyavirales,Hantaviridae,,Orthohantavirus,Laibin orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-05
34,Bunyavirales,Hantaviridae,,Orthohantavirus,Longquan orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-06
35,Bunyavirales,Hantaviridae,,Orthohantavirus,Luxi orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-07
36,Bunyavirales,Hantaviridae,,Orthohantavirus,Maporal orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-08
37,Bunyavirales,Hantaviridae,,Orthohantavirus,Montano orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-09
38,Bunyavirales,Hantaviridae,,Orthohantavirus,Necocli orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-10
39,Bunyavirales,Hantaviridae,,Orthohantavirus,Nova orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-11
40,Bunyavirales,Hantaviridae,,Orthohantavirus,Oxbow orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-12
41,Bunyavirales,Hantaviridae,,Orthohantavirus,Prospect Hill orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-13
42,Bunyavirales,Hantaviridae,,Orthohantavirus,Puumala orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-14
43,Bunyavirales,Hantaviridae,,Orthohantavirus,Quezon orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-15
44,Bunyavirales,Hantaviridae,,Orthohantavirus,Rockport orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-16
45,Bunyavirales,Hantaviridae,,Orthohantavirus,Sangassou orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-17
46,Bunyavirales,Hantaviridae,,Orthohantavirus,Seoul orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-18
47,Bunyavirales,Hantaviridae,,Orthohantavirus,Sin Nombre orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-19
48,Bunyavirales,Hantaviridae,,Orthohantavirus,Thailand orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-20
49,Bunyavirales,Hantaviridae,,Orthohantavirus,Thottapalayam orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-21
50,Bunyavirales,Hantaviridae,,Orthohantavirus,Tula orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-22
51,Bunyavirales,Hantaviridae,,Orthohantavirus,Yakeshi orthohantavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-23
52,Bunyavirales,Jonviridae,,Orthojonvirus,Jonchet orthojonvirus,ssRNA(-),Invertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-24
53,Bunyavirales,Nairoviridae,,Orthonairovirus,Artashat orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-25
54,Bunyavirales,Nairoviridae,,Orthonairovirus,Chim orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-26
55,Bunyavirales,Nairoviridae,,Orthonairovirus,Crimean-Congo hemorrhagic fever orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-27
56,Bunyavirales,Nairoviridae,,Orthonairovirus,Dera Ghazi Khan orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-28
57,Bunyavirales,Nairoviridae,,Orthonairovirus,Dugbe orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-29
58,Bunyavirales,Nairoviridae,,Orthonairovirus,Hazara orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-09-30
59,Bunyavirales,Nairoviridae,,Orthonairovirus,Hughes orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-01
60,Bunyavirales,Nairoviridae,,Orthonairovirus,Kasokero orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-02
61,Bunyavirales,Nairoviridae,,Orthonairovirus,Keterah orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-03
62,Bunyavirales,Nairoviridae,,Orthonairovirus,Nairobi sheep disease orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-04
63,Bunyavirales,Nairoviridae,,Orthonairovirus,Qalyub orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-05
64,Bunyavirales,Nairoviridae,,Orthonairovirus,Sakhalin orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-06
65,Bunyavirales,Nairoviridae,,Orthonairovirus,Tamdy orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-07
66,Bunyavirales,Nairoviridae,,Orthonairovirus,Thiafora orthonairovirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-08
67,Bunyavirales,Peribunyaviridae,,Herbevirus,Herbert herbevirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-09
68,Bunyavirales,Peribunyaviridae,,Herbevirus,Kibale herbevirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-10
69,Bunyavirales,Peribunyaviridae,,Herbevirus,Shuangao insect herbevirus 1,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-11
70,Bunyavirales,Peribunyaviridae,,Herbevirus,Tai herbevirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-12
71,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Acara orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-13
72,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Akabane orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-14
73,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Alajuela orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-15
74,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Anopheles A orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-16
75,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Anopheles B orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-17
76,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bakau orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-18
77,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Batama orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-19
78,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Benevides orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-20
79,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bertioga orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-21
80,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bimiti orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-22
81,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Botambi orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-23
82,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bunyamwera orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-24
83,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bushbush orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-25
84,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Bwamba orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-26
85,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,California encephalitis orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-27
86,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Capim orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-28
87,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Caraparu orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-29
88,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Catu orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-30
89,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Estero Real orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-10-31
90,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Gamboa orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-01
91,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Guajara orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-02
92,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Guama orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-03
93,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Guaroa orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-04
94,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Kaeng Khoi orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-05
95,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Kairi orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-06
96,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Koongol orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-07
97,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Madrid orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-08
98,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Main Drain orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-09
99,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Manzanilla orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-10
100,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Marituba orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-11
101,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Minatitlan orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-12
102,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,MPoko orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-13
103,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Nyando orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-14
104,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Olifantsvlei orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-15
105,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Oriboca orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-16
106,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Oropouche orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-17
107,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Patois orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-18
108,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Sathuperi orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-19
109,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Shamonda orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-20
110,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Shuni orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-21
111,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Simbu orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-22
112,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Tacaiuma orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-23
113,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Tete orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-24
114,Bunyavirales,Peribunyaviridae,,Orthobunyavirus,Thimiri orthobunyavirus,ssRNA(-),Vertebrate,"4219093 Porcine circovirus type 2-D, complete genome",1992-11-25
